playerKey,fantacalcioId,playerName,classicRole,mantraRoles,realTeamOriginal,statusCode,quotationCurrent,fvm,fantasyRoster,fbrefId,fbrefName,fbrefUrl,fbrefSearchQuery,fbrefSearchUrl,reviewBatch,reviewPriority,reviewScore,matchStatus,confidence,sourceVerifiedAt,mappedInRelease,notes
fc-5513,5513,Dumfries,D,E,Inter,IN_LISTONE,12,56,Prestige Worldwide,,,,Dumfries Inter fbref,https://fbref.com/en/search/search.fcgi?search=Dumfries%20Inter%20fbref,batch-03,125,39,needs-review,,,,
fc-2038,2038,Pinamonti,A,Pc,Sassuolo,IN_LISTONE,16,55,Ac Milan,08aa9cd1,Andrea Pinamonti,https://fbref.com/en/players/08aa9cd1/Andrea-Pinamonti,Pinamonti Sassuolo fbref,https://fbref.com/en/search/search.fcgi?search=Pinamonti%20Sassuolo%20fbref,batch-01,49,50,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-6956,6956,Solet,D,Dc,Udinese,IN_LISTONE,14,55,Real Pisistrius,0670ee51,Oumar Solet,https://fbref.com/en/players/0670ee51/Oumar-Solet,Solet Udinese fbref,https://fbref.com/en/search/search.fcgi?search=Solet%20Udinese%20fbref,batch-02,55,48,confirmed,0.98,2026-06-05,V374,"Nome listone cognome: associato a Oumar Solet, Udinese. Batch-02 verificato manualmente su FBref."
fc-7351,7351,Santos A.,C,W/A,Napoli,IN_LISTONE,12,54,FC DueFratelli2005,,,,Santos A Napoli fbref,https://fbref.com/en/search/search.fcgi?search=Santos%20A%20Napoli%20fbref,batch-04,169,36,needs-review,,,,
fc-2296,2296,Mancini,D,Dc,Roma,IN_LISTONE,15,54,Ac Milan,5aa53281,Gianluca Mancini,https://fbref.com/en/players/5aa53281/Gianluca-Mancini,Mancini Roma fbref,https://fbref.com/en/search/search.fcgi?search=Mancini%20Roma%20fbref,batch-01,47,50,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
fc-7314,7314,Taylor K.,C,C/T,Lazio,IN_LISTONE,14,52,Olympic Salerno  FC,,,,Taylor K Lazio fbref,https://fbref.com/en/search/search.fcgi?search=Taylor%20K%20Lazio%20fbref,batch-03,118,40,needs-review,,,,
fc-6684,6684,Ekkelenkamp,C,C/T,Udinese,IN_LISTONE,14,51,Afc Severgas Baronissi,73d6a176,Jurgen Ekkelenkamp,https://fbref.com/en/players/73d6a176/Jurgen-Ekkelenkamp,Ekkelenkamp Udinese fbref,https://fbref.com/en/search/search.fcgi?search=Ekkelenkamp%20Udinese%20fbref,batch-02,61,46,confirmed,0.98,2026-06-05,V374,"Nome listone cognome: associato a Jurgen Ekkelenkamp, Udinese. Batch-02 verificato manualmente su FBref."
fc-4317,4317,N'Dicka,D,Dc,Roma,IN_LISTONE,12,51,Ac Milan,441197b8,Obite N'Dicka,https://fbref.com/en/players/441197b8/Obite-NDicka,N'Dicka Roma fbref,https://fbref.com/en/search/search.fcgi?search=N'Dicka%20Roma%20fbref,batch-02,82,44,confirmed,0.98,2026-06-05,V374,"Nome listone N'Dicka: associato a Obite/Evan N'Dicka, Roma. Batch-02 verificato manualmente su FBref."
fc-309,309,Dybala,A,A,Roma,IN_LISTONE,13,50,Real Pisistrius,,,,Dybala Roma fbref,https://fbref.com/en/search/search.fcgi?search=Dybala%20Roma%20fbref,batch-03,111,40,needs-review,,,,
fc-6151,6151,Perrone,C,M/C,Como,IN_LISTONE,16,50,Ac Milan,53552942,Máximo Perrone,https://fbref.com/en/players/53552942/Maximo-Perrone,Perrone Como fbref,https://fbref.com/en/search/search.fcgi?search=Perrone%20Como%20fbref,batch-01,48,50,confirmed,0.98,2026-06-05,V373,Batch-01 verificato manualmente su FBref; nome e club coerenti.
