reviewPriority,reviewBatch,playerKey,playerName,classicRole,mantraRoles,realTeam,realTeamOriginal,fantacalcioId,quotationCurrent,fvm,fantasyRoster,fbrefSearchQuery,fbrefSearchUrl,fbrefId,fbrefName,fbrefUrl,matchStatus,confidence,notes
"42","batch-01","fc-1933","Mandragora","C","M/C","FIO","Fiorentina","1933","17","60","real mappine","Mandragora Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Mandragora%20Fiorentina%20fbref","","","","needs-review","",""
"43","batch-01","fc-5022","Pavlovic","D","Dc","MIL","Milan","5022","17","60","Olympic Salerno  FC","Pavlovic Milan fbref","https://fbref.com/en/search/search.fcgi?search=Pavlovic%20Milan%20fbref","","","","needs-review","",""
"44","batch-01","fc-6884","Conceicao","C","W/A","JUV","Juventus","6884","18","65","Afc Severgas Baronissi","Conceicao Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Conceicao%20Juventus%20fbref","","","","needs-review","",""
"45","batch-01","fc-2517","De Bruyne","C","T","NAP","Napoli","2517","21","92","As Paperopoli","De Bruyne Napoli fbref","https://fbref.com/en/search/search.fcgi?search=De%20Bruyne%20Napoli%20fbref","","","","needs-review","",""
"46","batch-01","fc-7071","Esposito F.P.","A","Pc","INT","Inter","7071","22","41","Olympic Salerno  FC","Esposito F.P Inter fbref","https://fbref.com/en/search/search.fcgi?search=Esposito%20F.P%20Inter%20fbref","","","","needs-review","",""
"47","batch-01","fc-2296","Mancini","D","Dc","ROM","Roma","2296","15","54","Ac Milan","Mancini Roma fbref","https://fbref.com/en/search/search.fcgi?search=Mancini%20Roma%20fbref","","","","needs-review","",""
"48","batch-01","fc-6151","Perrone","C","M/C","COM","Como","6151","16","50","Ac Milan","Perrone Como fbref","https://fbref.com/en/search/search.fcgi?search=Perrone%20Como%20fbref","","","","needs-review","",""
"49","batch-01","fc-2038","Pinamonti","A","Pc","SAS","Sassuolo","2038","16","55","Ac Milan","Pinamonti Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Pinamonti%20Sassuolo%20fbref","","","","needs-review","",""
"50","batch-01","fc-6572","Castro S.","A","Pc","BOL","Bologna","6572","17","30","As Paperopoli","Castro S Bologna fbref","https://fbref.com/en/search/search.fcgi?search=Castro%20S%20Bologna%20fbref","","","","needs-review","",""
"51","batch-02","fc-5995","De Ketelaere","A","A","ATA","Atalanta","5995","16","59","FC DueFratelli2005","De Ketelaere Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=De%20Ketelaere%20Atalanta%20fbref","","","","needs-review","",""
