playerKey,fantacalcioId,playerName,classicRole,mantraRoles,realTeam,fantasyRoster,fbrefId,fbrefName,fbrefUrl,mappingStatus,statsStatus,competition,matches,starts,minutes,goals,assists,xg,npxg,xa,xag,yellowCards,redCards,sourceUrl,sourceUpdatedAt,statsNotes
fc-4463,4463,Esposito Se.,A,A,CAG,Prestige Worldwide,7ff93107,Sebastiano Esposito,https://fbref.com/en/players/7ff93107/Sebastiano-Esposito,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4976,4976,Kalulu,D,Dd/Dc,JUV,real mappine,85f7d1be,Pierre Kalulu,https://fbref.com/en/players/85f7d1be/Pierre-Kalulu,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-7023,7023,Pellegrino M.,A,Pc,PAR,Olympic Salerno  FC,8c9e96c5,Mateo Pellegrino,https://fbref.com/en/players/8c9e96c5/Mateo-Pellegrino,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6717,6717,Konè I.,C,M/C,SAS,Beetlejuice,e0220b70,Ismaël Koné,https://fbref.com/en/players/e0220b70/Ismael-Kone,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6884,6884,Conceicao,C,W/A,JUV,Afc Severgas Baronissi,5ef3d210,Francisco Conceição,https://fbref.com/en/players/5ef3d210/Francisco-Conceicao,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4159,4159,Akanji,D,Dc,INT,Prestige Worldwide,89ac64a6,Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-1933,1933,Mandragora,C,M/C,FIO,real mappine,c7259b83,Rolando Mandragora,https://fbref.com/en/players/c7259b83/Rolando-Mandragora,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-152,152,Zielinski,C,C/T,INT,Real Pisistrius,a5296e55,Piotr Zieliński,https://fbref.com/en/players/a5296e55/Piotr-Zielinski,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5022,5022,Pavlovic,D,Dc,MIL,Olympic Salerno  FC,25146df0,Strahinja Pavlović,https://fbref.com/en/players/25146df0/Strahinja-Pavlovic,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2428,2428,Sommer,P,Por,INT,Afc Severgas Baronissi,420c18a1,Yann Sommer,https://fbref.com/en/players/420c18a1/Yann-Sommer,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5995,5995,De Ketelaere,A,A,ATA,FC DueFratelli2005,2ef7c612,Charles De Ketelaere,https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
