playerKey,playerName,classicRole,mantraRoles,realTeam,fantacalcioId,fbrefName,fbrefUrl,matchStatus,notes
"fc-7143","Angori","D","Ds/E","PIS","7143","","","unmapped",""
"fc-6990","Veiga D.","D","Dd/E","LEC","6990","","","unmapped",""
"fc-6663","Circati","D","Dc","PAR","6663","","","unmapped",""
"fc-5835","Baschirotto","D","Dc","CRE","5835","","","unmapped",""
"fc-5701","Obert","D","Ds/Dc","CAG","5701","","","unmapped",""
"fc-2724","Buongiorno","D","Dc","NAP","2724","","","unmapped",""
"fc-787","Djimsiti","D","Dc","ATA","787","","","unmapped",""
"fc-7252","Stulic","A","Pc","LEC","7252","","","unmapped",""
"fc-7008","Gimenez","A","Pc","MIL","7008","","","unmapped",""
"fc-6365","Ferguson E.","A","Pc","ROM","6365","","","unmapped",""
"fc-5506","Ekuban","A","A","GEN","5506","","","unmapped",""
"fc-5500","Cancellieri","A","W/A","LAZ","5500","","","unmapped",""
"fc-2678","Fullkrug","A","Pc","MIL","2678","","","unmapped",""
"fc-7223","Vergara","C","W/T","NAP","7223","","","unmapped",""
"fc-7209","Sorensen O.","C","C","PAR","7209","","","unmapped",""
"fc-7146","Tourè I.","C","E/M","PIS","7146","","","unmapped",""
"fc-7138","Ordonez C.","C","M/C","PAR","7138","","","unmapped",""
"fc-6980","Venturino","C","W","ROM","6980","","","unmapped",""
"fc-5992","Bondo","C","M/C","CRE","5992","","","unmapped",""
"fc-5858","Ferguson","C","C/T","BOL","5858","","","unmapped",""
"fc-5813","Miretti","C","C/T","JUV","5813","","","unmapped",""
"fc-5784","Aebischer","C","C","PIS","5784","","","unmapped",""
"fc-5761","Zhegrova","C","W","JUV","5761","","","unmapped",""
"fc-5319","Sohm","C","C","BOL","5319","","","unmapped",""
"fc-5301","Luis Henrique","C","E/W","INT","5301","","","unmapped",""
"fc-5131","Gilmour","C","M/C","NAP","5131","","","unmapped",""
"fc-4970","Messias","C","C/W","GEN","4970","","","unmapped",""
"fc-4404","Thorsby","C","C/T","CRE","4404","","","unmapped",""
